Arrondissement;Année;Population
75001;1999;16888.0
75002;1999;19585.0
75003;1999;34248.0
75004;1999;30675.0
75005;1999;58849.0
75006;1999;44919.0
75007;1999;56985.0
75008;1999;39314.0
75009;1999;55838.0
75010;1999;89612.0
75011;1999;149931.0
75012;1999;136591.0
75013;1999;171533.0
75014;1999;132844.0
75015;1999;225467.0
75016;1999;161773.0
75017;1999;161138.0
75018;1999;184586.0
75019;1999;172730.0
75020;1999;182952.0
75001;2006;17745.0
75002;2006;21259.0
75003;2006;34721.0
75004;2006;29138.0
75005;2006;61475.0
75006;2006;45278.0
75007;2006;56612.0
75008;2006;39088.0
75009;2006;58497.0
75010;2006;92082.0
75011;2006;152436.0
75012;2006;141519.0
75013;2006;178716.0
75014;2006;134370.0
75015;2006;232949.0
75016;2006;153920.0
75017;2006;161327.0
75018;2006;192042.0
75019;2006;186180.0
75020;2006;195303.0
75001;2009;17614.0
75002;2009;
75003;2009;
75004;2009;
75005;2009;
75006;2009;
75007;2009;
75008;2009;
75009;2009;60275.0
75010;2009;95911.0
75011;2009;
75012;2009;143128.0
75013;2009;
75014;2009;
75015;2009;238914.0
75016;2009;
75017;2009;
75018;2009;
75019;2009;184787.0
75020;2009;
75001;2011;17443.0
75002;2011;22927.0
75003;2011;36120.0
75004;2011;27887.0
75005;2011;60800.0
75006;2011;43880.0
75007;2011;57786.0
75008;2011;40589.0
75009;2011;60120.0
75010;2011;94027.0
75011;2011;154647.0
75012;2011;144402.0
75013;2011;183260.0
75014;2011;140317.0
75015;2011;
75016;2011;169942.0
75017;2011;170174.0
75018;2011;203127.0
75019;2011;186090.0
75020;2011;
75001;2017;16395.0
75002;2017;21042.0
75003;2017;34389.0
75004;2017;28370.0
75005;2017;59631.0
75006;2017;41976.0
75007;2017;52193.0
75008;2017;37368.0
75009;2017;60071.0
75010;2017;90836.0
75011;2017;147470.0
75012;2017;141287.0
75013;2017;183399.0
75014;2017;136941.0
75015;2017;235178.0
75016;2017;168554.0
75017;2017;168737.0
75018;2017;196131.0
75019;2017;188066.0
75020;2017;196739.0
